FID,CSA2010,Fastfd11,Fastfd13,Fastfd18,SHAPE_Length,SHAPE_Area
1,Allendale/Irvington/S. Hilton,0.554973176296,0.801627921317,0.616636862552,38770.1655711966,63770461.7790932
2,Beechfield/Ten Hills/West Hills,0.652315720809,0.73385518591,0.570776255708,37524.9505333862,47882527.7112373
3,Belair-Edison,0.976113918236,0.861276986679,0.631603123565,31307.3148434905,44950030.4722053
4,Brooklyn/Curtis Bay/Hawkins Point,0.772309204522,0.912729059889,0.772309204522,150987.70363871,176077742.748461
5,Canton,1.11111111111,1.23456790123,1.6049382716,23338.6119476392,15408538.2249734
6,Cedonia/Frankford,0.849004542174,0.933904996392,1.01880545061,39962.5498346887,71541340.306082
7,Cherry Hill,0.731528895391,0.975371860522,0.853450377957,22305.3020666774,29144181.351516
8,Chinquapin Park/Belvedere,0.386797318205,0.773594636411,0.902527075812,21705.411630324,21022590.1303212
9,Claremont/Armistead,0.850443445511,1.09342728709,1.09342728709,40104.4159801772,61243774.4204004
10,Clifton-Berea,0.911484707312,1.41786510026,1.51914117885,24022.7646207856,23285233.9251306
11,Cross-Country/Cheswolde,0,0,0,26788.3018784185,38222018.3165464
12,Dickeyville/Franklintown,0.24384296513,0,0.24384296513,31637.8174238148,35719112.414486
13,Dorchester/Ashburton,0.763617851688,1.01815713558,1.10300356355,27136.0757115223,34118277.1815219
14,Downtown/Seton Hill,22.2956234517,25.5986787779,25.1857968621,21565.8593945388,20736554.4071934
15,Edmondson Village,0.126582278481,0.126582278481,0.126582278481,21504.5513578719,23563061.0426838
16,Fells Point,1.8807390198,2.21263414094,2.76579267618,27670.1699158504,12620515.7178779
17,Forest Park/Walbrook,0.304599451721,0.406132602295,0.101533150574,36886.899781185,37200535.0297002
18,Glen-Fallstaff,1.94448169505,2.27973715972,2.27973715972,48549.0046179359,46995477.4779553
19,Greater Charles Village/Barclay,2.13531816241,1.76926362028,1.76926362028,26454.2692113378,27051213.4555493
20,Greater Govans,0.374496769965,0.655369347439,0.468120962457,22982.1257150065,22698495.7172767
21,Greater Mondawmin,1.82364299507,1.71636987771,1.71636987771,31136.7318903894,33663448.2791136
22,Greater Roland Park/Poplar Hill,0.677782296326,0.813338755592,0.948895214857,39862.7497953315,56688145.179702
23,Greater Rosemont,1.40194194922,1.40194194922,1.7654083805,32559.0762212062,42204384.5422658
24,Greenmount East,1.3734812467,0.845219228737,0.739566825145,20797.473457859,19072287.8238042
25,Hamilton,0.769112444239,0.922934933087,0.769112444239,27712.1110914795,45191100.5593894
26,Harbor East/Little Italy,2.95912705752,3.14407249861,2.03439985204,18552.4075815481,10215859.0840198
27,Harford/Echodale,0.593859492844,0.593859492844,0.356315695706,40019.1854001864,65360039.1701278
28,Highlandtown,2.34482758621,1.93103448276,1.65517241379,14976.1238513953,11684191.1190149
29,Howard Park/West Arlington,0.919709371838,0.735767497471,0.735767497471,36034.4984469622,63262430.0731008
30,Inner Harbor/Federal Hill,4.1717791411,4.41717791411,4.0490797546,43415.0595477941,24995836.2620936
31,Lauraville,0.570357695755,0.733317037399,0.814796708221,34419.6765281197,49665744.2382935
32,Loch Raven,0.261250081641,0.261250081641,0.19593756123,29314.3346718106,44147812.3259686
33,Madison/East End,4.62665467164,5.01220922761,6.16887289551,13120.1587193821,8897845.19137351
34,Medfield/Hampden/Woodberry/Remington,1.03519668737,1.03519668737,1.03519668737,43152.6256992199,62441489.2397897
35,Midtown,2.06391478029,2.5965379494,2.52996005326,25020.0969697781,23823949.929494
36,Midway/Coldstream,2.07813798836,2.38985868662,2.07813798836,22767.8274161691,17884471.2860874
37,Morrell Park/Violetville,1.11557340473,1.6733601071,1.33868808568,44412.7451302931,67470845.9897077
38,Mount Washington/Coldspring,0.193498452012,0.967492260062,0.967492260062,38539.7661484923,56943058.650076
39,North Baltimore/Guilford/Homeland,0.973431058177,0.687127805772,0.458085203848,42904.2221443837,74923987.6939622
40,Northwood,0.420597248092,0.420597248092,0.360511926936,38889.8945910241,52743271.7685975
41,Oldtown/Middle East,3.08924485126,4.11899313501,4.23340961098,23866.328178856,24585968.2339966
42,Orangeville/East Highlandtown,1.86178950827,2.51889168766,2.29985762786,47825.8629265765,89894372.2114828
43,Patterson Park North & East,0.824798955255,1.30593167915,1.09973194034,21786.3746600731,14507643.2040733
44,Penn North/Reservoir Hill,0.310302027307,0.724038063715,0.620604054613,29078.8384985474,41059796.6771503
45,Pimlico/Arlington/Hilltop,1.60798916723,2.11577522004,1.69262017603,24725.9340693497,30400962.0052273
46,Poppleton/The Terraces/Hollins Market,3.93236335037,2.35941801022,2.16279984271,12334.0275347364,9302012.99882708
47,Sandtown-Winchester/Harlem Park,1.00698174006,1.27551020408,1.27551020408,20987.1433066415,23672092.8680536
48,South Baltimore,0.720007200072,1.26001260013,0.90000900009,68440.0258267645,46353935.42529
49,Southeastern,0.798722044728,1.7571884984,2.07667731629,102291.480547452,111251478.472831
50,Southern Park Heights,0.752785305631,0.526949713942,0.602228244505,24052.2213722085,27876227.5906738
51,Southwest Baltimore,2.1805982667,2.34833659491,1.90103438636,28355.5635813649,37766068.8367913
52,The Waverlies,0.644911647104,1.54778795305,1.28982329421,18733.8268797396,20383750.5443637
53,Upton/Druid Heights,1.84192900201,1.92565304756,1.84192900201,19389.3078211947,16976622.3381282
54,Washington Village/Pigtown,2.18062874796,2.90750499727,3.63438124659,36962.2600947345,39343262.0375946
55,Westport/Mount Winans/Lakeland,2.24750667229,2.10703750527,3.09032167439,42573.1244161893,45494092.9497963
